Altium Designer Pick and Place Locations
C:\Users\Furkan\Desktop\Designs\Udemy_Project\Project Outputs for Udemy_Project\Pick Place for Udemy_Project.csv

========================================================================================================================
File Design Information:

Date:       16.05.25
Time:       12:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D8","1N4148WS","TopLayer","SOD323F","657.480","2413.386","90","Diode Ultra Fast Recovery Rectifier 75V 0.15A 2-Pin SOD-323F T/R"
"X2","ABS05-32.768KHZ-T","TopLayer","ABS05","1740.158","1112.402","270","Crystal 32.768kHz ±20ppm (Tol) 12.5pF Flexural 90000Ohm 2-Pin CSMD T/R"
"X1","ECS-160-20-30B-TR","TopLayer","ECS","2009.838","1946.851","225","Crystal 16MHz ±30ppm (Tol) ±50ppm (Stability) 20pF FUND 50Ohm 4-Pin Mini-SMD T/R"
"USB1","10118192-0001LF","TopLayer","MICRO_B_USB","2521.653","171.752","0","CONN USB MICRO B RECPT SMT R/A"
"U9","NCS36000DRG","BottomLayer","SOIC14","3366.142","828.740","180","PIR Controller NCS36000 Series Single 5.75V SOIC-14"
"U8","OPA314AIDBVR","BottomLayer","SOT23-5","3444.882","153.543","0","IC OPAMP GP 3MHZ RRO SOT23-5"
"U7","MAX6662MSA+","TopLayer","SOIC8","2456.693","1157.480","270","Temp Sensor Digital Serial (3-Wire, SPI) 8-Pin SOIC N Tube"
"U6","M41T00M6F","TopLayer","SOIC8","1964.567","1059.055","270","M41T00 Series 5.5 V I2C / 2-Wire / Serial Surface Mount Real Time Clock - SOIC-8"
"U5","USBLC6-2SC6","TopLayer","SOT23-6L","2535.433","464.567","270","ESD Suppressor Diode Array Dual Uni-Dir 15kV Air Gap/15kV Contact Disc 6-Pin SOT-23 T/R"
"U4","ESP32-WROOM-32E-N4","TopLayer","ESP32-WROOM-32E-N4","738.583","842.520","90","SMD module, ESP32-D0WD-V3, ESP32 ECO V3, 4 MB SPI flash, PCB antenna"
"U3","STM32F103C6T6A","TopLayer","LQFP48","2364.169","1875.984","270","MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP Tray"
"U2","AP7361-33E-13","TopLayer","SOT223","1531.496","1877.953","0","AP7361 Series 3.3 V 1 A Low SMT Dropout Fixed-Mode Regulator - SOT-223"
"U1","LM2675MX-12/NOPB","TopLayer","SOIC8","905.512","1623.425","90","SIMPLE SWITCHER® 6.5V to 40V, 1A Low Component Count Step-Down Regulator 8-SOIC -40 to 125"
"T1","BV302S12010","TopLayer","EI30","1141.732","3055.118","0","Sealed Transformer EI30/10.5"
"SW1","EG1215AA","TopLayer","EG1215AA","200.787","129.921","0","Slide Switch, SPDT, 0.025A, 24V, SMD"
"S1","LHI 878/3902","TopLayer","LHI_878","3464.567","1226.223","0","Sensor Pyro Detector Dual Motion"
"RY2","ALQ112","TopLayer","ALQ112","2551.181","3543.307","90","Electromechanical Relay 12VDC 360Ohm 10(NO)/3(NC)A SPDT (( 20mm 10mm 16mm)) THT Power Relay"
"RY1","ALQ112","TopLayer","ALQ112","2027.559","3543.307","90","Electromechanical Relay 12VDC 360Ohm 10(NO)/3(NC)A SPDT (( 20mm 10mm 16mm)) THT Power Relay"
"RT1","TFPT1206L1002FM","BottomLayer","RT_1206","3450.787","309.055","180","Thermistor PTC 10K Ohm 1% 2-Pin 1206 Surface Mount Solder Pad T/R Automotive"
"R37","RC0603FR-0710KL","BottomLayer","RES_0603","3795.276","742.126","0","RES 10K OHM %1 0603 SMD"
"R36","RC0603JR-070RL","BottomLayer","RES_0603","3157.477","860.236","180","RES 0 OHM 1% 0603 SMD"
"R35","RC0603JR-070RL","BottomLayer","RES_0603","3157.480","809.055","180","RES 0 OHM 1% 0603 SMD"
"R34","RC0603JR-0743KL","BottomLayer","RES_0603","3657.480","722.445","270","RES 43K OHM 5% 0603 SMD"
"R33","RC0603JR-07560KL","BottomLayer","RES_0603","3657.480","840.547","270","RES 560K OHM 5% 0603 SMD"
"R32","RC0603FR-0710KL","BottomLayer","RES_0603","3425.201","242.126","180","RES 10K OHM %1 0603 SMD"
"R31","RC0603FR-0710KL","BottomLayer","RES_0603","3657.480","958.665","270","RES 10K OHM %1 0603 SMD"
"R30","RC0603JR-07220KL","BottomLayer","RES_0603","3334.646","287.398","90","RES 220K OHM 5% 0603 SMD"
"R29","RC0603FR-071KL","BottomLayer","RES_0603","3334.646","143.697","90","RES 1K OHM 1% 0603 SMD"
"R28","RC0603JR-07560KL","BottomLayer","RES_0603","3602.362","958.665","90","RES 560K OHM 5% 0603 SMD"
"R27","RC0603JR-07220KL","BottomLayer","RES_0603","3267.716","287.398","90","RES 220K OHM 5% 0603 SMD"
"R26","RC0603FR-071KL","TopLayer","RES_0603","3470.272","645.669","0","RES 1K OHM 1% 0603 SMD"
"R25","RC0603JR-07220KL","BottomLayer","RES_0603","3192.914","946.854","270","RES 220K OHM 5% 0603 SMD"
"R24","RC0603FR-071KL","BottomLayer","RES_0603","3035.433","696.846","90","RES 1K OHM 1% 0603 SMD"
"R23","RC0603FR-07100RL","TopLayer","RES_0603","3460.630","877.953","180","RES 100 OHM 1% 0603 SMD"
"R22","RC0603FR-07100RL","TopLayer","RES_0603","442.917","177.165","180","RES 100 OHM 1% 0603 SMD"
"R21","RC0603FR-07100RL","TopLayer","RES_0603","59.055","301.181","90","RES 100 OHM 1% 0603 SMD"
"R20","RC0603FR-07100RL","TopLayer","RES_0603","2712.602","1082.480","0","RES 100 OHM 1% 0603 SMD"
"R19","RC0603FR-07100RL","TopLayer","RES_0603","2342.520","1559.051","90","RES 100 OHM 1% 0603 SMD"
